Strain,Sex,Age,Mouse #,BW (g)- Scale,Bone Mineral Density (g/cm2),Bone Mineral Content (g),Bone Area (cm2),Lean Tissue (g),Fat Tissue (g),% Fat Tissue,DEXA BW (g; Total Tissue),,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,1,21.28,0.0456,0.363,7.95,15.6,4.5,22.3,20.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,2,21.23,0.0522,0.414,7.92,15.1,4.2,21.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,3,22.58,0.0500,0.379,7.57,15.4,5.5,26.4,20.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,4,20.22,0.0546,0.362,6.62,13.8,6.0,30.5,19.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,5,22.14,0.0499,0.415,8.31,15.9,4.3,21.4,20.3,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,6,20.21,0.0495,0.355,7.17,14.3,4.1,22.2,18.4,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,7,22.86,0.0487,0.373,7.67,15.0,4.5,23.0,19.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,8,20.14,0.0483,0.349,7.22,13.9,4.9,25.9,18.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,9,22.39,0.0498,0.372,7.47,15.1,5.0,24.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,10,21.77,0.0499,0.381,7.63,15.8,4.2,21.1,20.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,11,23.35,0.0503,0.407,8.09,15.6,4.8,20.4,23.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,13,20.74,0.0494,0.402,8.46,15.8,3.7,19.5,19.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,13,24.19,0.0497,0.412,8.30,16.2,5.4,21.6,25.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,14,20.83,0.0505,0.389,7.70,15.6,3.2,18.9,17.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,15,20.37,0.0466,0.396,8.51,14.6,3.4,18.1,19.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,16,21.69,0.0514,0.423,8.23,16.1,3.3,19.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,17,23.77,0.0503,0.380,7.54,16.3,5.3,21.6,24.6,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,18,21.66,0.0515,0.422,8.20,14.9,4.9,19.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,19,21.31,0.0490,0.371,7.58,15.0,4.2,19.1,21.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,8,20,21.78,0.0521,0.408,7.83,15.6,4.1,19.7,20.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,1,28.77,0.0526,0.454,8.64,21.4,4.7,18.1,26.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,2,26.22,0.0497,0.417,8.38,19.1,4.6,19.4,23.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,3,24.70,0.0499,0.405,8.11,19.2,3.7,16.2,22.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,4,26.65,0.0515,0.414,8.02,19.5,4.8,19.7,24.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,5,26.93,0.0513,0.432,8.42,20.3,4.4,17.9,24.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,6,29.77,0.0524,0.461,8.79,22.9,4.7,17.1,27.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,7,29.23,0.0517,0.479,9.25,21.6,4.8,18.2,26.4,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,8,28.63,0.0511,0.454,8.88,22.1,4.7,17.6,26.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,9,28.03,0.0516,0.433,8.40,21.7,4.7,17.7,26.4,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,10,28.68,0.0518,0.459,8.86,21.7,4.5,26.2,17.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,11,25.17,0.0514,0.438,8.53,18.2,4.1,22.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,12,26.26,0.0505,0.437,8.65,19.2,4.5,23.8,19.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,13,26.36,0.0490,0.403,8.23,20.0,4.1,24.0,16.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,14,27.02,0.0503,0.445,8.84,20.2,4.0,24.2,16.6,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,15,27.94,0.0509,0.453,8.89,20.8,4.6,25.4,18.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,16,25.16,0.0515,0.433,8.41,18.7,4.1,22.7,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,17,26.31,0.0520,0.423,8.14,19.1,4.4,23.6,18.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,8,18,26.47,0.0485,0.425,8.77,19.9,4.3,24.2,17.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,1,26.89,0.0564,0.553,9.82,18.9,4.3,23.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,2,28.44,0.0599,0.508,8.49,19.5,6.5,26.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,3,25.18,0.0568,0.571,10.05,18.4,4.0,22.4,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,4,26.75,0.0555,0.512,9.22,19.3,5.0,24.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,5,25.14,0.0559,0.480,8.6,18.2,4.6,22.9,20.3,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,6,26.65,0.0589,0.506,8.59,19.4,4.7,24.1,19.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,7,22.45,0.0565,0.482,8.54,16.4,3.6,20.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,8,25.07,0.0552,0.472,8.55,18.1,5.1,23.2,21.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,9,25.45,0.0566,0.513,9.07,18.3,4.8,23.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,10,24.40,0.0503,0.564,9.35,18.0,3.8,21.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,11,26.89,0.0564,0.553,9.82,18.9,4.3,23.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,12,28.44,0.0599,0.508,8.49,19.5,6.5,26.0,25.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,13,25.18,0.0568,0.571,10.05,18.4,4.0,22.4,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,14,26.75,0.0555,0.512,9.22,19.3,5.0,24.2,20.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,15,25.14,0.0559,0.480,8.6,18.2,4.6,22.9,20.3,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,16,26.65,0.0589,0.506,8.59,19.4,4.7,24.1,19.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,17,22.45,0.0565,0.482,8.54,16.4,3.6,20.2,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,18,25.07,0.0552,0.472,8.55,18.1,5.1,23.2,21.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,19,25.45,0.0566,0.513,9.07,18.3,4.8,23.0,20.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,16,20,24.4,0.0503,0.564,9.35,18.0,3.8,21.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,1,29.20,0.0589,0.530,9.01,21.9,4.8,26.7,18.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,2,31.28,0.0562,0.513,9.12,23.3,5.8,29.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,3,29.31,0.0588,0.539,9.17,21.6,5.4,26.9,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,4,34.09,0.0609,0.563,9.24,25.1,6.0,31.0,19.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,5,30.87,0.0537,0.542,10.1,23.3,4.3,27.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,6,33.50,0.0595,0.589,9.9,26.1,5.3,31.4,16.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,7,28.50,0.0551,0.499,9.06,21.3,5.3,26.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,8,30.07,0.0574,0.483,8.41,20.3,4.7,24.9,18.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,9,30.01,0.0585,0.472,8.06,22.8,6.5,29.2,22.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,10,26.07,0.0571,0.475,8.32,19.4,4.5,24.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,11,29.2,0.0589,0.530,9.01,21.9,4.8,26.7,18.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,12,31.28,0.0562,0.513,9.12,23.3,5.8,29.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,13,29.31,0.0588,0.539,9.17,21.6,5.4,26.9,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,14,34.09,0.0609,0.563,9.24,25.1,6.0,31.0,19.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,15,30.87,0.0537,0.542,10.1,23.3,4.3,27.6,15.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,16,33.5,0.0595,0.589,9.9,26.1,5.3,31.4,16.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,17,28.5,0.0551,0.499,9.06,21.3,5.3,26.7,20.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,18,30.07,0.0574,0.483,8.41,20.3,4.7,24.9,18.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,19,30.01,0.0585,0.472,8.06,22.8,6.5,29.2,22.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,M,16,20,26.07,0.0571,0.475,8.32,19.4,4.5,24.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,1,,0.0542,0.551,10.17,19.4,5.9,25.3,23.4,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,2,,0.0572,0.507,8.87,19.4,7.6,26.9,28.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,3,,0.0595,0.537,9.03,20.6,5.7,26.3,21.7,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,4,,0.0576,0.549,9.53,20.9,5.2,26.1,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,5,,0.0603,0.528,8.75,19.1,5.5,24.6,22.3,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,6,,0.0602,0.565,9.4,21.3,5.8,27.1,21.3,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,7,,0.0571,0.488,8.54,19.9,6.7,26.5,25.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,8,,0.0564,0.511,9.06,18.2,5.1,23.2,21.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,9,,0.0573,0.541,9.46,19.7,5.2,24.9,21.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,10,,0.0588,0.535,9.1,18.1,4.2,22.3,18.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,11,,0.0573,0.54,9.44,20.9,7.8,28.8,27.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,12,,0.0970,0.578,9.69,18.9,3.7,22.7,16.4,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,13,,0.0573,0.529,9.25,20.8,8.4,29.3,28.8,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,14,,0.0570,0.502,8.8,19.2,6.8,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,15,,0.0626,0.594,9.49,19.5,4.7,24.3,19.5,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,16,,0.0605,0.483,7.98,21.0,11.4,32.3,35.1,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,17,,0.0553,0.472,8.55,19.9,6.2,26.1,23.9,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,18,,0.0571,0.544,9.52,20.2,5.1,25.3,20.2,,,,,,,,,,,,,,,,,,,,,,,,
5557,F,24,19,,0.0613,0.568,9.27,20.7,6.9,27.6,24.9,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
