Strain,Sex,Age,ID,ALB g/dL,ALT IU/L,BUN mg/dL,CAL mg/dL,CHOL mg/dL,GLU mg/dL,HDLX mg/dL,PHOS mg/dL,T4 ug/dL,TP g/dL,TRIG mg/dL,NA mmol/L,K mmol/L,CL mmol/L,NEFA mEq/L,LDLD mg/dL,CO2 mmol/L,,
5557,F,8,1,2.8,21,20.0,9.2,72,236,53.6,7.5,5.9,4.5,100,153.0,3.65,115.3,1.65,,,,
5557,F,8,2,2.9,20,20.0,9.6,65,223,52.3,6.5,6.4,4.7,74,149.9,4.11,114.5,1.44,,,,
5557,F,8,3,3.0,22,23.0,9.4,76,253,60.0,6.8,6.6,4.8,101,151.7,3.67,115.8,1.85,,,,
5557,F,8,4,3.0,23,17.0,9.2,69,280,57.3,6.1,6.1,4.7,76,150.8,3.93,115.6,1.62,,,,
5557,F,8,5,2.9,22,20.0,9.5,70,260,57.8,7.3,6.1,4.6,79,150.6,4.07,115.8,1.49,,,,
5557,F,8,6,2.8,24,20.0,9.2,58,282,48.6,7.2,5.3,4.4,80,149.5,4.09,114.8,1.38,,,,
5557,F,8,7,3.0,17,17.0,9.3,71,248,58.2,6.3,6.6,4.7,60,149.6,4.06,114.2,1.2,,,,
5557,F,8,8,3.0,20,17.0,9.2,67,266,57.8,5.5,6.0,4.8,62,150.4,4.02,116.8,1.18,,,,
5557,F,8,9,2.9,23,18.0,9.2,72,262,58.5,6.0,5.9,4.6,88,150.3,3.9,116.2,1.5,,,,
5557,F,8,10,3.0,24,18.0,9.0,68,248,54.3,6.1,6.4,4.8,78,149.4,4.22,116.5,1.49,,,,
5557,F,8,11,3.0,19,21.0,9.4,69,207,56.2,6.0,5.0,4.9,74,154.3,4.34,117.4,0.87,,,,
5557,F,8,12,3.0,,22.0,9.4,67,198,,7.3,5.9,4.8,,,,,,,,,
5557,F,8,13,3.0,29,18.0,10.2,75,283,60.5,6.9,5.3,4.9,90,150.8,4.50,125.6,1.25,,,,
5557,F,8,14,3.1,26,22.0,10.0,68,216,55.5,8.2,5.2,4.9,95,157.0,3.94,119.0,0.98,,,,
5557,F,8,15,3.0,33,19.0,9.7,63,285,51.8,6.0,5.6,4.8,90,154.6,4.13,116.5,0.95,,,,
5557,F,8,16,3.0,33,21.0,9.2,68,205,55.2,8.7,5.9,4.9,90,154.1,4.56,115.0,0.82,,,,
5557,F,8,17,3.0,20,19.0,9.4,76,262,61.5,7.8,5.1,4.8,103,158.4,4.64,119.7,0.84,,,,
5557,F,8,18,3.0,22,18.0,9.2,72,235,56.2,6.5,6.4,4.8,83,152.0,4.53,116.5,0.89,,,,
5557,F,8,19,3.0,43,20.0,9.9,65,239,52.6,7.3,5.6,4.8,98,153.0,5.08,118.9,0.74,,,,
5557,F,8,20,3.3,22,17.0,9.9,71,199,58.2,6.7,6.2,5.2,56,158.6,5.11,119.8,0.70,,,,
5557,F,8,21,3.1,20,27.0,10.2,80,199,56.5,8.5,6.8,5.0,125,150.8,4.41,119.0,0.71,5,22.3,,
5557,F,8,22,3.1,27,22.0,10.4,84,222,59.9,8.8,5.6,5.2,162,147.1,3.98,117.0,1.67,3.67,20,,
5557,F,8,23,3.2,25,24.0,10.3,80,166,55.4,9.3,6.1,5.2,174,147.5,3.99,117.8,1.18,4.47,19.2,,
5557,F,8,24,3.0,21,27.0,10.0,77,113,56.2,11.1,5.0,4.8,186,143.7,4.36,118.2,1.18,3.32,15.1,,
5557,F,8,25,3.1,23,24.0,10.4,83,124,58.2,12.7,5.0,5.0,194,145.7,4.29,115.3,0.98,3.84,20.1,,
5557,F,8,26,3.2,26,23.0,10.2,79,231,59.5,8.5,6.1,5.2,122,149.3,4.71,122.2,0.94,3.43,20.6,,
5557,F,8,27,3.2,20,21.0,10.1,84,229,61.4,7.2,6.2,5.3,102,157.3,3.62,113.7,1.5,3.85,20.7,,
5557,F,8,28,3.1,20,22.0,10.0,88,227,65.7,7.6,5.5,5.1,126,156.8,3.72,113.7,1.22,3.76,20,,
5557,F,8,29,3.3,24,25.0,10.7,89,179,62.5,9.0,6.5,5.4,188,147.7,3.94,120.9,1.6,4.02,17.3,,
5557,F,8,30,3.3,20,25.0,10.4,93,205,66.9,8.6,5.7,5.4,170,143.8,3.57,117.5,1.52,4.47,18.7,,
5557,F,8,31,2.9,16,21.0,9.5,62,205,45.1,7.9,5.0,4.6,132,156.2,3.56,115.6,1.41,3.21,16.6,,
5557,F,8,32,3.1,25,26.0,10.0,72,180,53.2,8.6,5.6,5.0,109,143,3.99,119.9,1.57,3.86,16.9,,
5557,F,8,33,3.1,24,25.0,9.9,75,134,54.9,9.2,6.4,5.1,120,158,4.03,115.3,1.33,4.5,16.9,,
5557,F,8,34,3.1,20,30.0,10.6,77,134,57.0,12.5,6.3,5.2,180,144.6,4.47,115.0,1.05,3.09,17.7,,
5557,F,8,35,3.2,25,20.0,10.2,90,241,65.1,8.1,6.5,5.3,121,143,4.41,116.4,1.47,4.45,17.3,,
5557,F,8,36,3.1,46,21.0,10.3,78,230,57.9,9.3,7.9,5.1,151,144.4,4.76,117.7,1.74,3.52,19.1,,
5557,F,8,37,3.1,18,17.0,10.4,77,248,58.3,9.2,7.8,5.1,62,143.9,5.08,122.6,0.74,4.35,19.1,,
5557,F,8,38,3.1,22,20.0,10.2,80,229,56.9,10.3,6.9,5.1,89,141,4.51,115.8,1.2,5.43,17.7,,
5557,F,8,39,3.2,29,21.0,10.5,90,176,64.7,11.1,6.2,5.4,195,143.1,4.39,117.7,1.3,3.98,18.7,,
5557,F,8,40,3.0,31,21.0,9.8,81,189,56.7,11.1,5.5,5.0,212,156.2,4.44,112.9,1.17,3.02,18.3,,
5557,M,8,1,2.6,21,18.0,9.3,93,226,77.7,8.7,5.5,4.5,91,152.7,5.52,113.4,1.2,,,,
5557,M,8,2,2.6,21,19.0,8.3,96,269,78.4,7.4,5.7,4.5,107,153.0,5,111.8,1.61,,,,
5557,M,8,3,2.6,26,18.0,9.4,87,206,74.3,7.5,5.3,4.6,45,154.4,4.32,113.9,0.85,,,,
5557,M,8,4,2.6,19,17.0,9.8,88,244,73.7,8.3,5.3,4.4,89,153.5,5.3,113.5,1.01,,,,
5557,M,8,5,2.4,28,16.0,9.0,82,183,67.0,8.1,5.4,4.2,70,152.1,4.33,116.3,1.15,,,,
5557,M,8,6,2.6,26,18.0,9.3,101,204,82.1,9.8,5.3,4.6,80,154.3,4.42,114.8,1.2,,,,
5557,M,8,7,2.6,21,19.0,9.2,89,248,74.0,8.3,5.1,4.4,66,152.7,4.48,114.9,1.21,,,,
5557,M,8,8,2.7,22,20.0,9.5,97,264,82.2,8.0,4.9,4.6,63,152.2,5.35,114.5,1.03,,,,
5557,M,8,9,2.6,19,16.0,9.2,96,270,80.5,6.7,4.8,4.5,60,150.8,4.55,115.1,1.08,,,,
5557,M,8,10,2.7,,17.0,9.3,97,267,,7.6,5.0,4.7,,,,,,,,,
5557,M,8,11,2.8,27,21.0,9.9,96,226,83.0,7.2,5.1,4.8,74,145.5,5.48,122.6,0.82,,,,
5557,M,8,12,2.9,26,20.0,10.2,98,287,84.2,9.0,6.4,4.9,69,147.8,4.13,122.8,0.97,,,,
5557,M,8,13,2.9,30,18.0,9.8,96,329,81.6,8.5,4.9,4.9,104,158.9,4.84,115.6,0.67,,,,
5557,M,8,14,2.8,33,20.0,10.3,98,286,80.6,9.2,5.2,4.9,94,148.9,5.74,121.2,0.79,,,,
5557,M,8,15,2.7,29,19.0,10.4,98,238,82.2,9.3,4.6,4.7,99,148.6,5.02,126.5,0.77,,,,
5557,M,8,16,2.8,31,17.0,10.3,109,249,92.7,8.7,4.8,5.1,75,147.9,5.09,121.6,0.60,,,,
5557,M,8,17,2.6,,,9.6,,,,,,,,,,,,,,,
5557,M,8,18,2.8,22,19.0,9.9,100,250,83.6,8.7,6.6,4.9,89,144.9,5.37,126.0,0.75,,,,
5557,M,8,19,2.7,24,18.0,9.5,94,229,81.0,6.3,5.0,4.7,75,155.4,3.88,121.4,0.52,,,,
5557,M,8,20,2.7,24,22.0,9.3,94,210,81.6,6.5,4.4,4.7,54,157.6,4.47,117.3,0.45,,,,
5557,M,8,21,3.2,29,28.0,12.0,111,268,89.3,11.9,6.8,5.5,172,158.3,5.71,118.9,0.98,1.73,22.2,,
5557,M,8,22,3.0,30,24.0,10.7,118,262,91.0,9.1,6.2,5.4,191,151.6,5.18,115.1,1.57,1.83,23.6,,
5557,M,8,23,2.9,24,25.0,10.5,117,258,89.5,9.6,5.7,5.0,178,148.2,4.84,113.0,1.28,1.61,22.6,,
5557,M,8,24,3.2,27,26.0,10.5,112,253,89.0,7.8,7.4,5.6,153,150.5,4.81,117.8,1.16,1.87,20.9,,
5557,M,8,25,2.9,23,26.0,10.7,111,294,85.7,8.9,4.7,5.2,204,149.1,4.43,119.4,1.53,1.84,22.9,,
5557,M,8,26,3.2,26,25.0,10.7,121,246,94.4,9.6,6.1,5.6,208,154.3,4.92,119.7,1.33,1.63,22.7,,
5557,M,8,27,2.9,23,26.0,10.5,110,296,87.9,9.2,6.8,5.2,131,150.6,5.06,115.6,1.23,1.88,22,,
5557,M,8,28,3.0,24,26.0,10.3,113,236,88.9,8.9,5.9,5.3,189,150.8,4.60,118.2,1.4,1.63,22.1,,
5557,M,8,29,3.0,28,29.0,11.0,115,297,87.3,10.7,6.5,5.3,249,157.9,4.93,120.7,1.48,1.57,25.5,,
5557,M,8,30,3.1,27,27.0,11.6,116,219,89.1,11.7,8.4,5.5,173,141.9,4.65,124.5,1.19,1.8,23.6,,
5557,M,8,31,3.0,25,23.0,10.8,117,275,90.9,10.2,7.8,5.3,133,153.3,5.88,119.7,1.01,1.62,24.6,,
5557,M,8,32,2.8,24,22.0,10.0,105,224,81.4,9.1,6.8,5.0,127,144.6,5.30,115.6,1,1.78,20,,
5557,M,8,33,2.8,26,20.0,10.3,109,261,82.2,9.0,7.6,5.0,140,143.2,5.37,116.9,1.37,2.31,19.6,,
5557,M,8,34,3.0,24,22.0,10.4,104,205,80.0,9.9,6.9,5.1,135,148.4,4.98,119.1,1.18,2.17,22.5,,
5557,M,8,35,2.9,26,24.0,10.7,110,191,84.9,11.2,6.0,5.1,127,147.8,5.37,120.4,0.9,2.07,21.7,,
5557,M,8,36,3.0,24,23.0,10.4,109,231,80.9,8.7,6.4,5.2,169,147.9,5.01,118.0,1.21,1.96,22.7,,
5557,M,8,37,3.2,23,24.0,10.7,121,270,91.8,8.4,7.3,5.5,186,151.2,5.21,122.1,1.06,1.93,23.6,,
5557,M,8,38,2.9,23,25.0,10.3,106,294,83.0,9.0,6.9,5.1,122,148.8,5.13,121.9,1.12,1.22,18.4,,
5557,M,8,39,3.0,23,23.0,10.4,107,286,81.2,7.9,6.8,5.2,152,142.8,5.15,116.8,1.43,1.44,20.9,,
5557,M,8,40,2.9,26,24.0,10.5,107,242,79.6,9.6,7.2,5.1,167,143.6,5.16,119.4,1.27,1.82,17.5,,
5557,F,16,1,3.5,23,26,10.7,77,266,58.5,6.4,6.5,5.6,76,158.7,4.31,127,1,,,,
5557,F,16,2,3.3,32,24,10.5,71,257,52,7.9,6.3,5.4,131,157.4,4.57,122.9,1.15,,,,
5557,F,16,3,3.3,19,23,10,75,208,54.1,6.8,7.1,5.3,114,159.6,4.74,122.2,1.14,,,,
5557,F,16,4,3.4,30,26,10.2,69,233,52.2,7,6.8,5.5,77,157,5.02,124.5,0.64,,,,
5557,F,16,5,3.4,28,27,10.6,80,268,59,7.6,6.9,5.5,105,159.7,4.42,126.4,1.05,,,,
5557,F,16,6,3.2,24,24,9.6,72,174,53.6,6.5,6,5,113,150.5,5.03,115.1,0.8,,,,
5557,F,16,7,3.4,21,26,10,69,244,51.9,6.9,6.5,5.4,103,155.8,4.83,125.3,1.22,,,,
5557,F,16,8,3.3,24,25.0,10.1,77,255,59,8.5,5.7,5.3,92,158.1,4.42,126.1,0.82,,,,
5557,F,16,9,3.1,27,23.0,9.5,84,277,62.6,6.6,6.6,5.1,92,157.6,3.72,120.9,1.46,,,,
5557,F,16,10,3,23,21.0,9.3,64,225,47.5,6.5,6.1,4.8,57,149.7,3.08,116.4,1.04,,,,
5557,F,16,11,3.3,22,20,9.6,78,225,57.5,7.2,4.9,5.4,91,147.0,5.27,123.9,0.87,,,,
5557,F,16,12,4.0,27,27,13.2,95,339,64.7,8.7,5.8,6.6,117,154.9,6.23,159.6,1.43,,,,
5557,F,16,13,3.6,25,27,12.1,81,307,57.7,8.8,5.6,5.9,130,160.7,6.22,152.4,1.08,,,,
5557,F,16,14,4.2,25,27,13.6,91,370,63.4,9.8,5.9,6.9,187,116.8,5.53,164.2,1.98,,,,
5557,F,16,15,3.8,25,24,11.7,78,292,59.4,7.5,5.0,6.2,66,158.1,6.01,148.4,0.72,,,,
5557,F,16,16,3.3,23,26,10.8,53,282,40.2,8.1,5.3,5.4,87,158.2,4.96,132.4,0.91,,,,
5557,F,16,17,3.4,23,21,10.7,71,282,54.6,6.5,5.5,5.6,79,152.2,5.31,136.7,1.00,,,,
5557,F,16,18,2.7,26,19,8.5,55,265,36.7,8.5,3.8,4.3,68,148.3,4.38,117.0,0.95,,,,
5557,F,16,19,2.8,20,23,8.8,80,142,58.6,6.7,5.1,4.6,207,153.5,5.02,113.4,0.82,2.82,22.2,,
5557,F,16,20,2.8,14,17,8.9,56,192,38.4,6.7,4.8,4.5,93,150.9,5.83,114.1,0.71,4.37,18.6,,
5557,F,16,21,3.2,31,22,10,94,195,68.6,6.4,5.9,5.2,177,151.6,5.05,117.9,0.89,2.95,24.3,,
5557,F,16,22,3.1,18,21,10.4,86,233,63.5,7.9,6,5.2,194,152.7,5.28,123.3,1.09,3.13,20.4,,
5557,F,16,23,2.9,21,24,9.6,92,209,64.9,8.3,4.6,4.7,341,158.1,4.76,117,1.15,2.37,22,,
5557,F,16,24,3,26,22,10,89,163,64.2,8.4,6.3,5,188,148.2,5.66,122.1,0.93,3.31,22.9,,
5557,F,16,25,3.3,37,19,10.3,105,204,75.9,7.8,8.6,5.6,113,149.5,5.52,119.1,0.98,5.76,24.7,,
5557,F,16,26,3.3,18,18,10.3,107,194,83.3,6.7,6.7,5.5,157,147.2,6.11,117.6,0.76,3.62,25.7,,
5557,F,16,27,3.1,26,20,10,88,246,65,7.1,6,5.1,136,148.4,5.26,119.2,1.1,3.93,23.2,,
5557,F,16,28,3,23,19,9.9,103,226,78.4,6.5,5.9,5,146,157.7,5.28,117,0.84,3.58,22.6,,
5557,F,16,29,3.1,26,22,10,83,167,62.6,8.3,6.6,5.3,109,157.6,5.45,116.5,0.81,4.56,24.8,,
5557,F,16,30,3.3,36,27,9.8,79,178,60.2,7.6,6.5,5.4,131,158.1,4.74,117.8,0.93,4.25,17.2,,
5557,F,16,31,3.3,25,26,10.1,96,213,68.4,8,6.4,5.6,167,148.1,4.84,120.4,1.1,4.8,23,,
5557,F,16,32,3.3,30,27,10.3,77,220,59,7.6,7.1,5.4,148,155.7,4.05,120.6,1.22,3.54,21.8,,
5557,F,16,33,3.1,24,25,10.2,72,172,49.3,8.4,5.8,5.1,135,157.9,4.68,116.4,0.83,5.14,22.2,,
5557,F,16,34,2.7,28,25,8.8,64,110,43.5,7.4,6.1,4.5,150,153.6,5.55,114.1,1.06,4.68,21.9,,
5557,F,16,35,3.4,43,28,10.5,86,196,64.8,8.3,6.7,5.6,152,154.4,5.35,119.6,1.02,4.04,20.1,,
5557,F,16,36,3.2,25,35,10.1,69,213,46.5,7.3,6.9,5.1,149,144.6,4.2,124.6,1.17,4.71,22.4,,
5557,F,16,37,3.3,35,28,10.3,86,272,69.1,6.8,6.8,5.6,114,149.5,4.43,118.6,1.22,3.31,23.4,,
5557,F,16,38,3.2,34,30,9.8,68,193,49.7,6.2,6.9,5.2,115,154.8,4.02,120,0.79,4.67,20.1,,
5557,M,16,1,2.7,29,24.0,9.5,95,220,76,7.2,5.4,4.8,87,155.9,4.72,118.1,0.76,,,,
5557,M,16,2,3.1,32,21.0,10,106,222,84.1,8,6.6,5.3,103,153.1,5.12,120.1,0.92,,,,
5557,M,16,3,2.9,22,23.0,9.9,90,234,73.7,7.9,5.6,4.9,71,156.5,4.96,121.7,0.68,,,,
5557,M,16,4,2.6,20,22.0,9.2,90,189,71,6.6,4.7,4.5,119,154.9,4.92,115.8,0.66,,,,
5557,M,16,5,2.7,25,20.0,9.2,92,191,73.2,6.6,5.2,4.7,61,152.1,5.19,114.9,0.59,,,,
5557,M,16,6,2.8,30,20.0,9.8,103,276,83.2,7.8,5.1,4.9,82,156.8,5.23,123.7,0.81,,,,
5557,M,16,7,3.1,32,23.0,10.2,102,231,81.4,8.3,4.3,5.3,87,162.2,4.88,125.6,0.8,,,,
5557,M,16,8,2.7,,20,8.7,84,281,,7,4.6,4.5,,148.8,5.72,116.7,,,,,
5557,M,16,9,2.7,22,20,9.3,85,281,68.4,7.1,4.9,4.7,68,152.9,4.56,117.2,0.6,,,,
5557,M,16,10,2.8,28,25,10.3,113,271,85.2,8.8,5.1,5.1,116,144.2,5.60,132.3,0.82,,,,
5557,M,16,11,3.8,35,34,13.7,134,316,103.4,10.0,6.2,6.8,120,178.2,6.57,164.8,0.95,,,,
5557,M,16,12,2.8,31,28,10.6,99,273,77.1,9.7,4.8,5.1,92,143.6,5.47,129.8,0.78,,,,
5557,M,16,13,3.3,27,24,11.7,115,336,92.1,8.9,5.2,5.9,102,159.7,5.59,146.1,0.73,,,,
5557,M,16,14,2.7,31,22,8.9,89,267,69.5,7.7,4.2,4.8,98,154.0,4.57,115.4,0.93,,,,
5557,M,16,15,3.2,32,29,11.2,111,270,89.1,8.5,5.6,5.7,73,159.1,5.32,141.9,0.64,,,,
5557,M,16,16,3.4,26,24,11.6,115,313,90.3,8.4,5.8,6.0,87,153.5,4.85,147.2,0.86,,,,
5557,M,16,17,2.8,27,19,10,128,232,103.7,7,6.7,5.2,159,147.5,6.01,116.3,0.72,1.05,23.2,,
5557,M,16,18,2.8,28,25,10.2,118,300,91,7.5,6,5.2,164,150.6,5.89,115.5,0.92,1.85,23.1,,
5557,M,16,19,2.5,20,19,9.2,99,251,74,7.6,5.8,4.5,148,149.3,5.26,108,0.75,1.31,21.6,,
5557,M,16,20,2.8,23,24,10.3,125,275,88.3,9.4,5.3,5,359,152.5,5.3,118.6,1.19,2.09,23,,
5557,M,16,21,2.7,23,21,9,101,233,78.2,7.3,6.8,4.7,198,152,5.57,108.9,0.81,1.46,26.1,,
5557,M,16,22,2.9,26,22,10.1,117,319,93.3,6.9,6.7,5.3,133,151.8,6.53,117.4,0.71,1.82,28.1,,
5557,M,16,23,2.8,25,22,9.7,105,235,80.9,7,5.8,5,128,158.1,5.48,113.8,0.81,1.47,25,,
5557,M,16,24,2.8,25,20,10.1,128,234,98.7,7.3,5.8,5.1,245,150,5.67,116.9,0.91,1.59,24,,
5557,M,16,25,2.5,29,21,8.9,99,222,76.2,6.6,5.5,4.5,118,150.8,5.16,108.5,0.67,1.46,23.6,,
5557,M,16,26,3.1,77,24,10.3,112,297,88.5,8.5,7.4,5.4,129,155.1,5.45,118.9,0.81,2,28.6,,
5557,M,16,27,3,26,23,10.2,127,205,92.7,7.7,5.8,5.4,178,152,5.74,117.3,0.9,1.94,29.3,,
5557,M,16,28,2.6,22,23,8.8,96,228,73.1,5.8,4.5,4.7,127,150.3,4.93,111.6,0.76,1.8,20.1,,
5557,M,16,29,2.8,30,23,9.5,119,230,91.6,7.2,4.5,5,183,159.7,5.28,115.3,0.98,1.43,25.7,,
5557,M,16,30,2.6,21,23,9,103,317,82.5,5.7,4.6,4.6,64,148.6,4.82,110.7,0.73,2.1,20,,
5557,M,16,31,2.7,26,23,9.5,111,244,87.9,8.3,5.9,4.9,117,157,5,112.2,0.64,1.29,23.4,,
5557,M,16,32,2.5,22,24,8.7,98,180,78.5,6,5.2,4.5,118,149.3,5.07,112.6,0.92,1.68,20.8,,
5557,M,16,33,2.8,22,26,9.6,112,230,88.1,6.5,4.9,5.1,111,158.2,5.37,116.3,0.64,1.93,25.5,,
5557,M,16,34,2.7,23,27,9.5,112,239,90.3,6.5,5.7,4.8,131,147.3,5.35,118.7,0.77,1.25,0.3,,
5557,M,16,35,2.5,18,22,8.9,103,228,83.5,5.7,6,4.5,75,149.8,4.82,109.2,0.64,1.59,23.8,,
5557,M,16,36,2.5,115,22,9.3,98,229,77.9,5.9,4.8,4.5,120,149.6,4.79,110.6,0.71,1.55,22.2,,
5557,F,24,1,3.3,29,27.0,10.2,95,176,69.7,7.8,6.4,5.4,184,159.4,5.18,122.2,0.61,4.02,20.9,,
5557,F,24,2,3.2,21,28.0,10.2,83,196,62.7,7.8,5.1,5.2,195,152.5,5.11,120.2,0.56,3.38,22.5,,
5557,F,24,3,3.0,26,29.0,9.5,68,184,50.3,8.2,4.0,4.9,151,154.8,4.61,114.3,0.51,3.27,21.3,,
5557,F,24,4,2.9,18,28.0,9.6,69,157,48.6,8.4,5.1,4.6,239,155.5,4.14,115.8,0.8,2.45,19.4,,
5557,F,24,5,3.1,23,26.0,10.0,87,216,61.9,9.8,4.1,5.0,222,158.6,4.37,116.6,0.59,3.63,21.2,,
5557,F,24,6,3.1,18,25.0,9.4,70,173,51.4,7.2,5.5,5.0,119,155.9,5.47,116.6,0.63,3.74,23.1,,
5557,F,24,7,3.0,154,29.0,9.6,86,277,62.1,7.6,5.1,5.0,201,153.2,4.90,111.8,0.78,3.48,20.7,,
5557,F,24,8,3.3,18,23.0,10.3,74,212,51.5,7.5,7.0,5.3,154,154,4.76,119.3,0.67,4.02,23.1,,
5557,F,24,9,3.2,20,26.0,10.4,69,204,46.3,8.0,5.5,5.2,226,154.9,4.68,120.4,0.96,3.57,22.5,,
5557,F,24,10,2.8,19,26,8.9,67,235,49.4,5.7,5,4.5,141,150.2,3.92,114.7,1.14,,,,
5557,F,24,11,2.9,35,21,9,74,206,57.9,5.8,6.1,4.8,121,149.6,4.47,113.2,1.22,,,,
5557,F,24,12,3,19,24,8.8,76,209,60.8,6.6,5.5,4.8,122,150,4.42,114.2,0.87,,,,
5557,F,24,13,2.7,23,25,8.8,58,198,41.1,7.6,4.6,4.4,123,151.5,4.31,116.3,1.22,,,,
5557,F,24,14,3,21,23.0,9,60,190.0,43.1,6,6.4,4.7,142,151.4,4.01,118.3,1.05,,,,
5557,F,24,15,2.8,23,22.0,8.8,64,186.0,48,6.3,4.7,4.6,122,151,4.45,116.1,0.79,,,,
5557,F,24,16,2.8,18,22.0,8.5,63,223.0,47.5,6,5.2,4.4,161,148.9,3.96,116.9,0.99,,,,
5557,F,24,17,2.8,18,24.0,8.9,60,224.0,49.2,6.2,6.2,4.5,63,151.3,3.46,115.3,1.01,,,,
5557,F,24,18,2.9,22,23,8.9,72,220,54.8,6,6.2,4.8,86,150.3,4.14,117.2,0.92,,,,
5557,F,24,19,2.7,,25,8.7,65,192,,7.1,3.9,4.3,,,,,,,,,
5557,F,24,20,2.9,21,24,9,63,227,49.8,7.2,6.6,4.7,109,151.8,3.43,115,0.88,,,,
5557,F,24,21,2.8,21,25,8.8,59,199,45.3,6.6,4.6,4.6,84,151.5,3.83,118.3,0.9,,,,
5557,F,24,22,2.8,22,27.0,8.8,72,255.0,56.3,6.3,4.9,4.5,136,148.7,3.65,116.3,0.77,,,,
5557,F,24,23,2.9,19,21.0,8.8,69,219.0,55.1,6,5.8,4.6,67,150.1,4.36,117.2,0.88,,,,
5557,F,24,24,3,20,24.0,8.8,69,241.0,52.3,6.5,4.9,4.9,78,150.2,4.32,117,0.85,,,,
5557,F,24,25,3,27,22.0,9,71,293.0,56.6,6.5,5.6,4.7,118,149.8,4.24,116.9,0.99,,,,
5557,F,24,26,3,23,25.0,8.9,68,229.0,54,6.5,6,4.7,121,151.1,4.02,117.5,0.75,,,,
5557,F,24,27,2.8,19,19,8.7,63,278,47.4,6.2,6.1,4.6,68,148.3,4.98,117.7,0.68,,,,
5557,F,24,28,2.8,23,23,8.7,69,237,52.4,7.5,5.5,4.6,60,148.5,4.06,118.4,0.73,,,,
5557,F,24,29,3.3,20,24,10,89,191,71.5,7.2,7.8,5.6,115,150.6,5.35,121.1,1.21,3.99,22.4,,
5557,F,24,30,3.6,26,22,10.7,101,253,76.5,6.8,8.3,5.9,194,154.7,5,120.4,1.44,3.28,23.5,,
5557,F,24,31,3.2,22,24,9.7,82,157,61.5,7.9,6.5,5.3,121,158.6,4.15,118.4,1.01,3.82,19.3,,
5557,F,24,32,3.4,20,21,10.1,66,200,51.7,7.7,8.9,5.5,74,152,4.6,123.4,0.82,3.99,24.2,,
5557,F,24,33,3.4,25,27,10.7,96,216,69.9,9.4,7,5.7,233,153.2,4.28,125,1.31,4.15,21.4,,
5557,F,24,34,3.7,17,21,10.7,90,154,72.2,6.8,8.5,6.1,77,154.9,5.51,124.3,1.24,6.03,22.8,,
5557,F,24,35,3.4,21,24,10.2,84,220,61.9,7.3,6.8,5.7,145,157.2,5.04,121.3,0.96,4.02,23.6,,
5557,F,24,36,3.1,23,24,9.6,72,209,52.2,7,7.2,5.1,162,154.4,4.88,117.4,1.39,3.66,20.4,,
5557,F,24,37,3.4,20,23,10.7,81,220,62.8,6.7,8.9,5.7,96,147.3,4.89,126.8,1.18,3.95,23.2,,
5557,F,24,38,3.4,18,23,10.3,82,147,62.8,9,7.3,5.7,90,155.8,4.71,126.3,0.98,4.86,19.7,,
